Clusterid,RA_thiswork,Dec_thiswork,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade_thiswork,Grade_thiswork_by_LR,NUM_OF_IMG,Name_D22,RA_D22,Dec_D22,Grade_D22
2600066,308.8703068,6.58918841,0.98,0.62,1.918088122,1.918088122,1.918088122,A,A,2,DESI-308.8703+06.5892,308.8703,6.5892,C
2604520,35.44735416,5.919203396,0.95,0.89,0.860950642,0.860950642,0.860950642,A,C,2,DESI-035.4474+05.9192,35.4474,5.9192,A
2604577,201.1373438,5.906455352,0.98,0.76,2.073418927,2.073418927,2.073418927,C,B,2,DESI-201.1373+05.9065,201.1373,5.9065,C
2604655,119.1313287,5.887818971,0.95,0.9,1.16587338,1.16587338,1.16587338,A,C,2,DESI-119.1313+05.8878,119.1313,5.8878,A
2615126,355.8774341,4.599453189,0.99,0.69,1.231398697,1.231398697,1.231398697,A,C,2,DESI-355.8774+04.5995,355.8774,4.5995,C
2615155,234.4600496,4.5902532,0.98,0.76,1.844560828,1.844560828,1.844560828,A,B,2,DESI-234.4600+04.5903,234.46,4.5903,C
2619465,20.59920429,3.977168947,0.95,0.82,1.705964337,1.705964337,1.705964337,B,A,2,DESI-020.5992+03.9772,20.5992,3.9772,B
2638720,123.3673248,1.60918225,0.97,0.7,2.305416824,2.305416824,2.305416824,B,B,2,DESI-123.3673+01.6092,123.3673,1.6092,B
2655107,159.3664934,0.305677543,0.98,0.81,1.245366594,1.245366594,1.245366594,A,B,2,DESI-159.3665+00.3057,159.3665,0.3057,B
2671227,48.84865005,-0.946431351,0.94,0.95,2.550481579,2.550481579,2.550481579,B,A,2,DESI-048.8487-00.9464,48.8487,-0.9464,B
2672519,19.55033831,-1.078355151,0.93,0.62,1.73843096,1.73843096,1.73843096,C,C,2,DESI-019.5503-01.0784,19.5503,-1.0784,C
2675904,203.5464935,-1.347987654,0.9,0.81,1.09603603,1.09603603,1.09603603,B,C,2,DESI-203.5465-01.3480,203.5465,-1.348,A
2680310,133.2241508,-1.81387132,0.98,0.83,3.226718279,3.226718279,3.226718279,B,B,2,DESI-133.2242-01.8139,133.2242,-1.8139,C
2683094,52.42817615,-2.137856707,0.96,0.85,1.324940109,1.324940109,1.324940109,A,B,2,DESI-052.4282-02.1379,52.4282,-2.1379,A
2685102,135.1102751,-2.450195428,0.95,0.83,0.978733156,0.978733156,0.978733156,A,C,2,DESI-135.1103-02.4502,135.1103,-2.4502,B
2697966,33.34555003,-4.359536804,0.97,0.58,1.907986198,1.907986198,1.907986198,A,A,2,DESI-033.3456-04.3595,33.3456,-4.3595,C
2707608,143.8464546,-5.643544853,0.97,0.78,1.751798429,1.751798429,1.751798429,A,C,2,DESI-143.8465-05.6435,143.8465,-5.6435,C
2708405,341.0472875,-5.847201707,0.99,0.92,1.02075161,1.02075161,1.02075161,A,C,2,DESI-341.0473-05.8472,341.0473,-5.8472,A
2709707,167.0845836,-5.983365944,0.97,0.87,1.283776236,1.283776236,1.283776236,B,B,2,DESI-167.0846-05.9834,167.0846,-5.9834,C
2716761,37.519068,-7.079515157,0.99,0.89,0.57213032,0.57213032,0.57213032,A,C,2,DESI-037.5191-07.0795,37.5191,-7.0795,A
2718344,170.0846388,-7.313776669,0.95,0.81,1.757868112,1.757868112,1.757868112,B,B,2,DESI-170.0846-07.3138,170.0846,-7.3138,C
2718482,128.4730359,-7.351864258,0.97,0.83,1.220989232,1.220989232,1.220989232,A,C,2,DESI-128.4730-07.3519,128.473,-7.3519,A
2719850,173.0308529,-7.511947976,0.94,0.88,1.023442047,1.023442047,1.023442047,A,C,2,DESI-173.0309-07.5119,173.0309,-7.5119,A
2721654,202.0008693,-7.80295815,0.91,0.65,1.400566644,1.400566644,1.400566644,A,B,2,DESI-202.0009-07.8030,202.0009,-7.803,A
2721727,137.4945795,-7.817864776,0.99,0.87,0.81303854,0.81303854,0.81303854,A,C,2,DESI-137.4946-07.8179,137.4946,-7.8179,B
2728345,315.8707482,-8.847079489,0.99,0.62,0.946811269,0.79594269,0.87137698,A,C,3,DESI-315.8707-08.8470,315.8707,-8.847,B
2735101,21.31730736,-10.2081429,0.94,0.81,1.119811073,1.119811073,1.119811073,A,C,2,DESI-021.3173-10.2081,21.3173,-10.2081,A
2747586,345.4727646,-13.70823604,0.96,0.8,2.248983929,2.248983929,2.248983929,C,B,2,DESI-345.4728-13.7082,345.4728,-13.7082,C
2748270,333.8016508,-13.90818971,0.97,0.9,2.305974176,2.305974176,2.305974176,C,A,2,DESI-333.8017-13.9082,333.8017,-13.9082,C
2749842,65.6565783,-14.4666071,0.98,0.77,0.981682275,0.981682275,0.981682275,A,C,2,DESI-065.6566-14.4666,65.6566,-14.4666,A
2751051,65.68216775,-14.89066962,0.95,0.68,1.118123122,1.118123122,1.118123122,A,B,2,DESI-065.6822-14.8907,65.6822,-14.8907,A
2752566,14.32114648,-15.86527887,0.96,0.86,0.817789952,0.817789952,0.817789952,A,C,2,DESI-014.3211-15.8653,14.3211,-15.8653,B
2755497,38.10654078,-17.63306629,0.98,0.91,0.762209081,0.762209081,0.762209081,A,C,2,DESI-038.1065-17.6331,38.1065,-17.6331,B
2757770,13.13022922,-18.99224102,0.96,0.92,2.040383334,2.040383334,2.040383334,C,A,2,DESI-013.1302-18.9922,13.1302,-18.9922,B
2764390,51.45108467,-22.54086906,0.97,0.84,1.012182674,1.012182674,1.012182674,A,B,2,DESI-051.4511-22.5409,51.4511,-22.5409,B
2764845,43.57175943,-22.73130666,0.98,0.55,2.321900832,2.321900832,2.321900832,B,A,2,DESI-043.5718-22.7313,43.5718,-22.7313,C
2766889,35.52176806,-23.69584854,0.94,0.84,2.087486695,2.087486695,2.087486695,A,A,2,DESI-035.5218-23.6958,35.5218,-23.6958,C
2767525,70.98002746,-24.0571104,0.94,0.9,1.849038211,1.849038211,1.849038211,B,A,2,DESI-070.9800-24.0571,70.98,-24.0571,B
2768416,38.06546805,-24.49422384,0.98,0.65,1.438441054,1.438441054,1.438441054,A,C,2,DESI-038.0655-24.4942,38.0655,-24.4942,A
2771712,11.58385054,-26.12414511,0.94,0.9,1.969724787,1.969724787,1.969724787,B,A,2,DESI-011.5839-26.1241,11.5839,-26.1241,B
2775298,29.10394454,-27.85615308,0.93,0.92,1.499107089,1.499107089,1.499107089,A,A,2,DESI-029.1039-27.8562,29.1039,-27.8562,A
2776871,61.19215403,-28.60816807,0.98,0.9,0.556960951,0.556960951,0.556960951,A,C,2,DESI-061.1922-28.6082,61.1922,-28.6082,B
