Clusterid,RA,Dec,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade,Grade_by_LR,NUM_OF_IMG,in_GLQ,in_D22,Grade_by_D22,q,phi,rein,NOTE
2535671,228.9107822,15.19331806,1,0.9,1.004361028,1.004360517,1.004360772,A,A,2,TRUE,FALSE,,,,,
2535790,202.3209884,15.1658554,0.9,0.81,1.594944647,1.594944647,1.594944647,C,B,2,FALSE,FALSE,,,,,
2537346,204.4782144,15.01348341,0.97,0.78,1.446825715,1.446825715,1.446825715,C,B,2,FALSE,TRUE,C,,,,
2537466,200.2482043,14.98786739,0.98,0.63,0.734163672,0.734163672,0.734163672,A,C,2,FALSE,FALSE,,,,,
2537600,352.7379484,14.95320774,0.9,0.58,2.629286323,2.629286323,2.629286323,C,B,2,FALSE,FALSE,,,,,
2538958,218.4625587,14.83524203,0.98,0.9,3.332012144,3.332012144,3.332012144,C,A,2,FALSE,FALSE,,,,,
2539554,201.4979315,14.68622396,0.97,0.84,0.590288205,0.590288205,0.590288205,A,C,2,FALSE,TRUE,B,,,,
2541128,34.15257445,14.51286065,0.95,0.71,0.560097769,0.560097769,0.560097769,A,C,2,FALSE,TRUE,C,,,,
2541372,254.3146059,14.45428005,0.98,0.82,3.163777898,3.163777898,3.163777898,C,B,2,FALSE,FALSE,,,,,
2542974,244.193352,14.26238123,0.97,0.94,0.770269229,0.770269115,0.770269172,A,A,4,TRUE,FALSE,,,,,
2546251,211.4870798,13.84419053,0.98,0.53,1.72378689,1.72378689,1.72378689,C,B,2,FALSE,FALSE,,,,,
2547041,268.0956926,13.6487212,0.87,0.65,5.664375998,5.664375998,5.664375998,C,C,2,FALSE,FALSE,,,,,group-scale
2550705,204.7801587,13.17741254,0.96,0.77,0.851080244,0.851079928,0.851080086,A,C,2,TRUE,FALSE,,,,,
2554167,4.3237067,12.7527494,0.96,0.76,1.077452387,1.077452387,1.077452387,A,C,2,FALSE,FALSE,,,,,
2555737,325.8843484,12.57448803,0.96,0.65,0.765247239,0.765247239,0.765247239,A,C,2,FALSE,TRUE,C,,,,
2556035,153.769742,12.5061507,0.97,0.77,0.678746117,0.678746117,0.678746117,A,C,2,FALSE,FALSE,,,,,
2561083,256.1768892,11.85448284,0.95,0.54,2.375334884,2.375334884,2.375334884,B,A,2,FALSE,FALSE,,,,,
2561734,220.6851705,11.68532603,0.93,0.67,2.336430719,2.336430719,2.336430719,B,A,2,FALSE,FALSE,,,,,
2562892,182.4903848,11.61611335,0.89,0.96,2.816432721,2.816432721,2.816432721,C,A,2,FALSE,TRUE,C,,,,
2566504,317.7873361,11.11174975,0.92,0.74,0.54063192,0.54063192,0.54063192,A,C,2,FALSE,TRUE,C,,,,
2568589,337.973364,10.8160656,0.98,0.66,1.322579059,1.322579059,1.322579059,A,B,2,FALSE,FALSE,,,,,
2568725,31.34083383,10.77909227,0.93,0.85,1.355549454,1.355549454,1.355549454,B,A,2,FALSE,TRUE,B,,,,
2570233,260.2710593,10.61499922,0.94,0.85,1.814274223,1.814274223,1.814274223,C,A,2,FALSE,FALSE,,,,,
2573923,26.37255128,10.08959149,0.98,0.94,1.00380349,1.00380349,1.00380349,C,C,2,FALSE,FALSE,,,,,
2575916,256.6289746,9.803148772,0.95,0.86,3.774781191,3.774781191,3.774781191,C,C,2,FALSE,FALSE,,,,,visible lens
2580001,183.1848902,9.202027705,0.96,0.66,2.020440111,2.020440111,2.020440111,A,A,2,FALSE,TRUE,B,,,,
2580195,211.2385638,9.160033043,0.95,0.73,2.298479105,2.298479105,2.298479105,C,A,2,FALSE,FALSE,,,,,
2580239,118.0859623,9.145076166,0.97,0.82,1.89769588,1.89769588,1.89769588,C,A,2,FALSE,FALSE,,,,,
2581447,205.9846969,9.04323295,0.88,0.59,1.159400846,1.159400846,1.159400846,C,C,2,FALSE,FALSE,,,,,
2581510,335.0503845,9.02577715,0.98,0.53,2.310588994,2.310588994,2.310588994,B,A,2,FALSE,FALSE,,,,,
2582063,311.9414116,8.884350151,0.92,0.54,0.692702371,0.692702371,0.692702371,B,C,2,FALSE,FALSE,,,,,
2583105,350.0641038,8.857847564,0.86,0.85,2.300595559,2.300595559,2.300595559,B,B,2,FALSE,FALSE,,,,,
2587116,23.26956495,8.278897046,0.91,0.9,1.547988069,1.547988069,1.547988069,B,A,2,FALSE,TRUE,A,,,,
2587193,145.1129701,8.262540201,0.92,0.63,1.846142194,1.846142194,1.846142194,A,A,2,FALSE,TRUE,C,,,,
2587254,345.9391239,8.248642332,0.97,0.74,1.721486076,1.721486076,1.721486076,A,A,2,FALSE,TRUE,A,,,,
2590593,242.8201318,7.844631147,0.98,0.66,1.98806827,1.98806827,1.98806827,C,A,2,FALSE,TRUE,B,,,,
2590890,169.570158,7.76614341,0.98,0.75,1.522144222,0.876991763,1.118500653,A,B,2,TRUE,FALSE,,,,,
2592415,125.4304416,7.595976962,0.96,0.86,1.949350406,1.949350406,1.949350406,A,A,2,FALSE,FALSE,,,,,
2593284,143.029652,7.380998129,0.98,0.83,1.327764231,1.327764231,1.327764231,B,B,2,FALSE,TRUE,A,,,,
